unweighted_abruptness,weighted_abruptness,branchiness_mean,branchiness_variance,repeteadness_mean,repeteadness_variance,melodic_mean,melodic_variance,pitch_in_piece,pitch_in_rules,pitch_between_rules,label
12,12,2,0.285714286,1,0.006742284,1.428571429,0.244897959,15,4.142857143,9.333333333,Rock
16,10,3.405405405,2.619430241,5,2.112658719,1.918918919,0.831263696,23,8.027027027,11.92857143,Rock
5,5,3.043478261,1.693761815,6,2.952831302,1.956521739,0.737240076,24,3.217391304,7.380952381,Rock
3,2,3.529411765,1.07266436,6,2.530637247,1.470588235,0.249134948,20,2.352941176,3.5,Rock
15,2,3.578947368,3.717451524,3.73,1.083201531,1.736842105,0.825484765,17,2.473684211,3.8,Rock
5,7,2.947368421,1.102493075,5.991666667,3.249625202,1.631578947,0.337950139,14,3.052631579,7.058823529,Rock
3,3,1,0,0,0,1,0,3,0,3,Rock
7,2,2,0.210526316,6,3.196530402,1.157894737,0.132963989,32,1.526315789,5.368421053,Rock
3,3,2.413793103,0.932223543,5.295714286,2.310848334,1.413793103,0.380499405,38,1.310344828,3.962962963,Rock
3,1,3.157894737,1.396121884,5.8,3.045789351,1.578947368,0.349030471,16,4.473684211,8.375,Rock
1,1,2.96,1.1584,7.796875,5.237550362,2,1.2,20,1.12,4.739130435,Rock
2,2,2.857142857,0.979591837,2.75,0.555555556,1,0,22,0,5,Rock
9,9,2.153846154,0.130177515,11,10,1.153846154,0.130177515,24,0.461538462,8.916666667,Rock
13,13,2.769230769,1.25443787,6.9786437,3.88777101,2.230769231,1.408284024,21,6.923076923,10.08333333,Rock
19,10,3.96,3.5784,16.8,24.36112396,2.14,0.4604,27,9.18,13.13592233,Rock
1,1,2,0,1.9,0.222222222,1,0,2,0,1,Rock
29,29,1.6,0.24,1,6.94E-05,1.4,0.24,29,8,20,Rock
2,2,1.333333333,0.222222222,1,0,1,0,5,0,3.5,Rock
14,9,4.535353535,6.582083461,8,5.521310039,1.858585859,0.171921233,48,9.823232323,15.73762376,Rock
3,3,3.090909091,1.476584022,6,2.757794867,1.484848485,0.370982553,36,2.03030303,6.153846154,Rock
2,13,3.090909091,3.173553719,5.872720063,2.772710439,2,0.909090909,13,3.181818182,7.727272727,Rock
2,2,2.25,0.4375,4.15,1.472222222,1,0,34,0,17,Rock
1,1,1.6,0.24,1.85,0.1875,1,0,10,0,1.666666667,Rock
6,6,2,1,2.956521739,0.638626339,1.333333333,0.222222222,13,2.666666667,8,Rock
3,3,3.304347826,2.124763705,11.9,12.73634055,1.782608696,0.43100189,10,2.347826087,4.571428571,Rock
2,6,3.888888889,3.154320988,3.8,1.099752247,2.305555556,0.823302469,21,9.722222222,12.04,Rock
1,1,2.6,1.04,2.6,0.469135802,1.2,0.16,14,0.4,4.5,Rock
4,4,3.35,2.1775,12,11.05314992,1.775,0.374375,16,2.9,5.595238095,Rock
3,5,3.606060606,3.45087236,7,4.143498576,2.378787879,1.295913682,40,5.863636364,8.888888889,Rock
2,2,3,1.25,4,1.506562314,1.3125,0.21484375,16,2.125,8,Rock
3,3,2.285714286,0.775510204,3.4,0.899408284,1,0,12,0,5.333333333,Rock
5,5,1,0,1,0,1,0,5,0,5,Rock
7,3,4.096551724,4.61136742,7,3.491811775,2.082758621,0.489702735,36,5.524137931,7.851239669,Rock
4,4,1.6,0.24,3.35,0.963222789,1.5,0.45,24,4.5,9.375,Rock
