53 56 => 53 0.8
60 55 128 => 62 1.0
67 70 => 67 1.0
60 56 60 => 128 1.0
57 => 128 0.0625
57 => 60 0.75
57 => 51 0.0625
57 => 53 0.0625
57 => 54 0.0625
61 65 128 => 68 0.5
61 65 128 => 56 0.5
56 128 => 55 0.5
56 128 => 54 0.0625
56 128 => 56 0.25
56 128 => 53 0.1875
62 => 128 0.454545454545
62 => 68 0.0454545454545
62 => 59 0.181818181818
62 => 65 0.272727272727
62 => 71 0.0454545454545
128 56 => 60 0.461538461538
128 56 => 128 0.0769230769231
128 56 => 59 0.307692307692
128 56 => 61 0.153846153846
48 52 => 128 1.0
63 128 65 => 68 1.0
61 63 => 128 1.0
58 60 => 128 1.0
70 => 128 0.166666666667
70 => 63 0.333333333333
70 => 73 0.166666666667
70 => 67 0.333333333333
62 68 => 62 1.0
52 55 => 52 1.0
128 58 55 => 58 1.0
65 61 => 128 0.166666666667
65 61 => 65 0.666666666667
65 61 => 58 0.166666666667
52 58 => 52 1.0
58 55 58 => 128 1.0
54 57 => 54 1.0
60 56 => 60 0.181818181818
60 56 => 51 0.727272727273
60 56 => 53 0.0909090909091
128 55 => 61 0.166666666667
128 55 => 58 0.833333333333
67 128 65 => 62 1.0
49 128 56 => 128 1.0
56 => 59 0.0816326530612
56 => 51 0.204081632653
56 => 53 0.102040816327
56 => 52 0.0816326530612
56 => 60 0.163265306122
56 => 61 0.0408163265306
56 => 128 0.326530612245
54 128 53 => 57 1.0
59 53 => 49 1.0
63 => 58 0.111111111111
63 => 128 0.222222222222
63 => 60 0.111111111111
63 => 61 0.111111111111
63 => 70 0.222222222222
63 => 68 0.222222222222
54 51 => 54 1.0
