12 8 => 12 0.125
12 8 => 14 0.125
12 8 => -5 0.125
12 8 => 5 0.25
12 8 => 7 0.125
12 8 => -9 0.125
8 14 => -7 1.0
14 => 11 0.0434782608696
14 => 10 0.101449275362
14 => 12 0.144927536232
14 => 15 0.217391304348
14 => 7 0.0579710144928
14 => 17 0.0869565217391
14 => 19 0.0724637681159
14 => 18 0.0144927536232
14 => 3 0.0289855072464
14 => -5 0.0144927536232
14 => 0 0.0144927536232
14 => -7 0.0144927536232
14 => 5 0.0579710144928
14 => -14 0.0144927536232
14 => -17 0.0144927536232
14 => 24 0.0144927536232
14 => 20 0.0144927536232
14 => -9 0.0289855072464
14 => 8 0.0434782608696
22 => 24 0.25
22 => 15 0.125
22 => 16 0.125
22 => 19 0.125
22 => 5 0.125
22 => 20 0.25
22 16 => 25 1.0
-7 => 11 0.0833333333333
-7 => 12 0.166666666667
-7 => 14 0.0833333333333
-7 => 17 0.0833333333333
-7 => 16 0.0833333333333
-7 => -5 0.25
-7 => -1 0.166666666667
-7 => 8 0.0833333333333
25 24 => 16 1.0
2 => 11 0.0294117647059
2 => 12 0.0294117647059
2 => 20 0.0294117647059
2 => 14 0.0294117647059
2 => 17 0.0588235294118
2 => 3 0.352941176471
2 => -5 0.117647058824
2 => 0 0.205882352941
2 => -7 0.0588235294118
2 => 5 0.0294117647059
2 => -2 0.0294117647059
2 => 129 0.0294117647059
129 => 17 0.3
129 => -5 0.1
129 => 0 0.2
129 => 3 0.1
129 => 2 0.1
129 => 5 0.1
129 => -1 0.1
15 20 => 22 0.5
15 20 => 17 0.5
3 -5 => 0 0.666666666667
3 -5 => 129 0.333333333333
-4 2 => 0 1.0
12 17 => 20 0.25
12 17 => 12 0.25
12 17 => 15 0.25
12 17 => 10 0.25
15 8 => 19 1.0
20 -5 => 14 1.0
5 -4 => -5 1.0
15 11 => 15 0.4
15 11 => 17 0.4
15 11 => 7 0.2
3 12 => 2 0.333333333333
3 12 => 7 0.666666666667
20 17 => 11 0.166666666667
20 17 => 13 0.166666666667
20 17 => 20 0.166666666667
20 17 => 14 0.166666666667
20 17 => -11 0.166666666667
20 17 => 15 0.166666666667
10 -5 => -7 0.5
10 -5 => 12 0.5
21 24 => 0 1.0
11 15 => 12 0.25
11 15 => 14 0.5
11 15 => 17 0.25
-5 -1 0 => 12 1.0
-4 7 => 8 1.0
8 => 11 0.0416666666667
8 => 10 0.166666666667
8 => 12 0.125
8 => 15 0.0833333333333
8 => 14 0.0416666666667
8 => 17 0.125
8 => 19 0.0416666666667
8 => -5 0.0416666666667
8 => 5 0.0833333333333
8 => 7 0.125
8 => -16 0.0416666666667
8 => -9 0.0833333333333
13 17 => 13 1.0
20 10 => 19 1.0
19 11 => 17 1.0
-5 0 => -5 0.25
-5 0 => 2 0.5
-5 0 => 12 0.125
-5 0 => -1 0.125
-4 -2 => 16 1.0
-5 10 => 12 1.0
5 20 => 14 1.0
19 20 => 19 0.166666666667
19 20 => -10 0.166666666667
19 20 => 12 0.333333333333
19 20 => 17 0.333333333333
12 2 3 => 17 1.0
129 -5 => 0 1.0
13 10 => 19 1.0
-5 -9 => 19 1.0
16 -12 => -5 1.0
10 17 => 19 0.5
10 17 => 15 0.5
-9 12 => 15 1.0
19 16 => 17 1.0
2 11 => 12 1.0
-5 2 => 3 0.5
-5 2 => 14 0.5
-7 17 19 => 5 1.0
-12 => 19 0.5
-12 => -10 0.125
-12 => -5 0.125
-12 => 14 0.125
-12 => 7 0.125
5 11 => 20 1.0
3 22 => 19 0.5
3 22 => 20 0.5
3 2 3 => -5 0.666666666667
3 2 3 => 7 0.333333333333
-11 16 => 20 1.0
17 15 => 11 0.181818181818
17 15 => 10 0.0909090909091
17 15 => 13 0.0909090909091
17 15 => 12 0.0909090909091
17 15 => 14 0.272727272727
17 15 => 17 0.0909090909091
17 15 => 19 0.0909090909091
17 15 => 0 0.0909090909091
129 0 => -5 0.5
129 0 => 129 0.5
-7 11 => 12 1.0
11 19 => 12 1.0
14 -5 => 17 1.0
15 14 12 => 8 0.25
15 14 12 => 15 0.5
15 14 12 => 16 0.25
7 14 => 5 1.0
16 19 => 16 1.0
-7 -5 0 => -5 1.0
13 => 10 0.142857142857
13 => 12 0.142857142857
13 => 15 0.142857142857
13 => 17 0.142857142857
13 => 19 0.142857142857
13 => 20 0.142857142857
13 => 8 0.142857142857
5 -1 => 2 1.0
27 => 26 0.5
27 => 15 0.5
3 17 => 19 0.333333333333
3 17 => 129 0.333333333333
3 17 => 2 0.333333333333
-1 14 => 19 0.5
-1 14 => 7 0.5
-1 0 => -5 0.25
-1 0 => 12 0.25
-1 0 => 2 0.25
-1 0 => 7 0.25
7 -1 => 14 1.0
-9 12 15 => 8 1.0
16 20 => 19 1.0
-7 -5 => 0 0.666666666667
-7 -5 => -12 0.333333333333
-5 12 14 => -9 1.0
8 7 => 5 0.666666666667
8 7 => 14 0.333333333333
-10 17 => 19 0.333333333333
-10 17 => -12 0.333333333333
-10 17 => 14 0.333333333333
10 16 => -5 0.5
10 16 => 19 0.5
16 10 => -5 1.0
19 -4 => 12 1.0
3 => 10 0.027027027027
3 => 13 0.027027027027
3 => 12 0.0810810810811
3 => 14 0.0810810810811
3 => 17 0.0810810810811
3 => 0 0.0810810810811
3 => 19 0.027027027027
3 => 22 0.0540540540541
3 => -5 0.0810810810811
3 => -4 0.027027027027
3 => 2 0.135135135135
3 => -1 0.0540540540541
3 => 7 0.0540540540541
