-12 7 19 => 14 1.0
5 -7 => -3 1.0
15 10 => 22 1.0
-17 11 => 12 0.666666666667
-17 11 => 14 0.333333333333
-19 5 => -17 1.0
3 -16 => 8 0.333333333333
3 -16 => 12 0.666666666667
12 13 => 11 0.2
12 13 => 10 0.2
12 13 => 14 0.2
12 13 => -2 0.4
-17 => 11 0.115384615385
-17 => 10 0.0769230769231
-17 => 14 0.230769230769
-17 => -5 0.0384615384615
-17 => -1 0.153846153846
-17 => -14 0.0769230769231
-17 => 7 0.153846153846
-17 => 9 0.0384615384615
-17 => 5 0.0769230769231
-17 => -9 0.0384615384615
3 9 => 0 1.0
6 7 => 11 0.111111111111
6 7 => 1 0.111111111111
6 7 => 12 0.111111111111
6 7 => -29 0.111111111111
6 7 => -5 0.222222222222
6 7 => 9 0.222222222222
6 7 => -8 0.111111111111
1 13 => 1 0.5
1 13 => 0 0.5
21 9 => 21 1.0
-12 14 => 15 1.0
0 12 => 11 0.104166666667
0 12 => 0 0.729166666667
0 12 => 2 0.104166666667
0 12 => -1 0.0208333333333
0 12 => 10 0.0416666666667
11 14 => 19 0.25
11 14 => 8 0.125
11 14 => 3 0.125
11 14 => 12 0.5
19 -9 => 15 1.0
0 12 10 => 9 1.0
7 -14 => 10 0.2
7 -14 => 5 0.6
7 -14 => 14 0.2
13 16 => -10 1.0
12 15 19 => -12 0.333333333333
12 15 19 => -9 0.666666666667
19 10 => 15 1.0
-16 8 => 12 1.0
18 6 => 18 0.8
18 6 => 7 0.2
7 19 => 12 0.0238095238095
7 19 => 15 0.047619047619
7 19 => 14 0.0714285714286
7 19 => 17 0.0238095238095
7 19 => 18 0.0238095238095
7 19 => 3 0.0238095238095
7 19 => 7 0.761904761905
7 19 => 8 0.0238095238095
-9 -21 => -5 0.5
-9 -21 => 7 0.5
-1 -7 => 129 1.0
-2 7 => 2 1.0
16 5 => 17 1.0
11 -1 => 11 0.5
11 -1 => -12 0.5
14 0 => 12 1.0
-12 -10 => 14 1.0
-29 => 11 0.5
-29 => -9 0.5
17 13 => -4 0.5
17 13 => 12 0.5
18 19 7 => 15 1.0
-21 2 => 3 1.0
14 -17 => 11 1.0
14 10 => 7 1.0
-29 -9 => -10 1.0
-19 => 12 0.230769230769
-19 => 14 0.0769230769231
-19 => 17 0.230769230769
-19 => -7 0.153846153846
-19 => 2 0.0769230769231
-19 => 5 0.0769230769231
-19 => 8 0.153846153846
11 6 => 12 1.0
3 6 => 9 1.0
7 => 20 0.0122699386503
7 => -29 0.00613496932515
7 => 1 0.00613496932515
7 => 0 0.0122699386503
7 => 3 0.0429447852761
7 => 2 0.0306748466258
7 => 5 0.0981595092025
7 => 4 0.0122699386503
