4 => 7 0.222222222222
4 => -2 0.0555555555556
4 => 9 0.0277777777778
8 12 => 18 0.5
8 12 => 17 0.5
-5 -1 => 2 1.0
35 12 => 15 1.0
1 -2 -4 => -1 0.5
1 -2 -4 => 5 0.5
3 -1 => -5 0.25
3 -1 => 2 0.25
3 -1 => -3 0.25
3 -1 => -2 0.25
-10 -12 => -11 0.117647058824
-10 -12 => -9 0.588235294118
-10 -12 => -8 0.294117647059
-6 -9 => -11 0.25
-6 -9 => -10 0.25
-6 -9 => -7 0.25
-6 -9 => -14 0.25
8 5 => 3 0.4
8 5 => 2 0.2
8 5 => -1 0.4
11 8 => 3 0.166666666667
11 8 => 4 0.166666666667
11 8 => 7 0.666666666667
0 -1 -3 => -5 1.0
15 => 24 0.0714285714286
15 => 10 0.0714285714286
15 => 12 0.0714285714286
15 => 20 0.0357142857143
15 => 14 0.5
15 => 19 0.214285714286
15 => 9 0.0357142857143
21 => 19 1.0
-5 -7 -9 => -10 0.75
-5 -7 -9 => 0 0.25
-4 => -1 0.0909090909091
-4 => -10 0.0363636363636
-4 => -7 0.145454545455
-4 => -5 0.272727272727
-4 => 0 0.0545454545455
-4 => -13 0.0181818181818
-4 => -6 0.127272727273
-4 => 5 0.0545454545455
-4 => 4 0.0181818181818
-4 => -3 0.0363636363636
-4 => -2 0.0181818181818
-4 => 2 0.0363636363636
-4 => -9 0.0181818181818
-4 => -8 0.0363636363636
-4 => -12 0.0181818181818
-4 => 8 0.0181818181818
-9 -2 => -5 1.0
-7 -10 => -13 0.333333333333
-7 -10 => -12 0.333333333333
-7 -10 => -14 0.333333333333
3 1 => 10 0.25
3 1 => -1 0.5
3 1 => 4 0.25
-4 -6 => 3 0.142857142857
-4 -6 => 5 0.142857142857
-4 -6 => -3 0.142857142857
-4 -6 => -2 0.142857142857
-4 -6 => -9 0.142857142857
-4 -6 => -8 0.285714285714
-12 -5 => 12 1.0
9 7 5 => 4 1.0
-7 -4 => -7 0.333333333333
-7 -4 => 2 0.666666666667
5 14 => 8 0.5
5 14 => 12 0.5
13 10 8 => 17 1.0
2 -1 => -7 0.5
2 -1 => -6 0.25
2 -1 => -3 0.25
-2 -4 => -5 0.181818181818
-2 -4 => -1 0.0909090909091
-2 -4 => -7 0.363636363636
-2 -4 => -6 0.181818181818
-2 -4 => 5 0.181818181818
-11 -2 => -5 1.0
14 8 => 5 0.5
14 8 => 6 0.5
21 19 => 17 1.0
15 12 => 9 0.5
15 12 => 7 0.5
-13 -5 -7 => -10 1.0
12 15 => 19 0.857142857143
12 15 => 9 0.142857142857
7 3 2 => 5 1.0
-1 1 => -1 1.0
11 7 => 10 0.5
11 7 => 12 0.5
14 17 => 19 1.0
-10 -4 -7 -9 => -12 1.0
-12 -13 => -9 1.0
-4 -1 => 1 0.2
-4 -1 => -4 0.6
-4 -1 => 3 0.2
2 6 => 11 0.333333333333
2 6 => 9 0.666666666667
3 => -5 0.016393442623
3 => 13 0.016393442623
3 => 12 0.0491803278689
