14 => 0 0.00729927007299
14 => 2 0.00729927007299
14 => 7 0.014598540146
14 => 9 0.0510948905109
14 => 20 0.00729927007299
22 => 1 0.166666666667
22 => 24 0.333333333333
22 => 21 0.5
3 19 => 17 1.0
0 -5 => -6 0.666666666667
0 -5 => 4 0.333333333333
2 => 11 0.0188679245283
2 => 10 0.0377358490566
2 => 12 0.0566037735849
2 => 14 0.0188679245283
2 => 19 0.0188679245283
2 => 1 0.0377358490566
2 => 0 0.264150943396
2 => 3 0.0188679245283
2 => 5 0.0754716981132
2 => 4 0.188679245283
2 => 7 0.150943396226
2 => 6 0.0188679245283
2 => 9 0.0377358490566
2 => -1 0.0188679245283
2 => -3 0.0188679245283
2 => 21 0.0188679245283
12 9 => 12 0.0909090909091
12 9 => 17 0.0909090909091
12 9 => 0 0.0909090909091
12 9 => 2 0.272727272727
12 9 => 5 0.0909090909091
12 9 => 4 0.0909090909091
12 9 => 7 0.181818181818
12 9 => 8 0.0909090909091
16 14 11 => 12 1.0
25 => 26 1.0
-5 7 => 5 1.0
2 4 => 0 0.1
2 4 => 2 0.2
2 4 => 5 0.6
2 4 => 6 0.1
14 23 21 => 14 1.0
6 14 => 7 1.0
11 13 14 => 9 0.5
11 13 14 => 11 0.5
16 14 19 => 18 0.666666666667
16 14 19 => 14 0.333333333333
21 12 => 11 0.5
21 12 => 18 0.5
4 7 => 10 0.1
4 7 => 13 0.1
4 7 => 12 0.3
4 7 => 5 0.2
4 7 => 6 0.1
4 7 => 9 0.2
11 9 7 9 => 11 0.4
11 9 7 9 => 14 0.2
11 9 7 9 => 7 0.4
21 24 => 23 0.166666666667
21 24 => 20 0.166666666667
21 24 => 21 0.333333333333
21 24 => 22 0.166666666667
21 24 => 16 0.166666666667
2 6 => 9 1.0
8 => 9 0.5
8 => -4 0.125
8 => 5 0.125
8 => 7 0.125
8 => 11 0.125
13 17 => 14 1.0
21 16 14 => 19 1.0
19 11 => 12 1.0
-5 0 => -5 1.0
5 7 9 => 11 0.5
5 7 9 => 10 0.166666666667
5 7 9 => -5 0.166666666667
5 7 9 => 6 0.166666666667
-12 0 => 2 1.0
12 19 => 20 0.2
12 19 => 14 0.6
12 19 => 16 0.2
19 11 12 => 7 1.0
12 19 16 => 22 1.0
11 17 16 => 11 0.5
11 17 16 => 24 0.5
10 7 2 => 10 1.0
17 24 => 19 0.5
17 24 => 23 0.5
13 10 => 9 1.0
1 => 2 0.714285714286
1 => 4 0.285714285714
19 16 => 19 0.444444444444
19 16 => 24 0.222222222222
19 16 => 12 0.222222222222
19 16 => 22 0.111111111111
2 11 => 7 1.0
16 19 14 => 17 1.0
9 12 => 11 0.3
9 12 => 10 0.1
9 12 => 17 0.1
9 12 => 18 0.2
9 12 => 6 0.1
9 12 => 9 0.2
8 7 6 => 24 1.0
17 15 => 14 0.75
17 15 => 17 0.25
-5 4 => 2 1.0
4 19 => 16 1.0
23 19 14 => 12 0.5
23 19 14 => 23 0.5
11 19 => 12 0.571428571429
11 19 => 14 0.285714285714
11 19 => 17 0.142857142857
26 14 => 19 1.0
9 5 => 0 0.4
9 5 => 2 0.2
9 5 => 14 0.2
9 5 => 17 0.2
-3 => -5 0.454545454545
-3 => 1 0.0909090909091
-3 => 2 0.0909090909091
-3 => -1 0.272727272727
-3 => 0 0.0909090909091
19 14 => 11 0.0714285714286
19 14 => 12 0.142857142857
19 14 => 17 0.0714285714286
19 14 => 16 0.142857142857
19 14 => 19 0.428571428571
19 14 => 18 0.0714285714286
19 14 => 23 0.0714285714286
16 14 16 => 14 1.0
7 14 => 11 0.4
7 14 => 9 0.4
7 14 => 16 0.2
4 7 9 7 => 12 1.0
16 19 => 2 0.1
16 19 => 21 0.1
16 19 => 17 0.7
16 19 => 14 0.1
9 14 11 => 19 0.25
9 14 11 => 14 0.75
13 => 10 0.105263157895
13 => 16 0.105263157895
13 => -8 0.0526315789474
13 => 17 0.0526315789474
13 => 14 0.684210526316
5 -1 => -5 1.0
14 9 => 12 0.142857142857
14 9 => 14 0.571428571429
14 9 => 17 0.142857142857
14 9 => 6 0.142857142857
19 => 24 0.0689655172414
19 => 11 0.0114942528736
19 => 26 0.0229885057471
19 => 12 0.0574712643678
19 => 20 0.0344827586207
19 => 21 0.172413793103
19 => 17 0.218390804598
19 => 16 0.103448275862
19 => 18 0.0919540229885
19 => 22 0.0114942528736
19 => -5 0.0114942528736
19 => 2 0.0114942528736
19 => 5 0.0114942528736
19 => 7 0.0114942528736
19 => 14 0.16091954023
18 14 12 11 => 26 1.0
-5 5 4 => 0 1.0
11 16 => 12 0.75
11 16 => 20 0.25
-1 0 => 2 0.25
-1 0 => 4 0.5
-1 0 => 7 0.25
10 8 => 7 1.0
18 24 => 19 1.0
12 14 12 11 => 9 1.0
16 20 => 23 1.0
-7 -5 => 0 0.5
-7 -5 => -7 0.5
0 9 => 10 0.5
0 9 => 7 0.5
21 7 => 9 1.0
8 7 => 6 1.0
6 12 11 => 19 1.0
16 10 => 13 1.0
12 5 => 12 1.0
9 7 6 => 14 0.5
9 7 6 => 7 0.5
12 7 6 => 5 1.0
19 17 19 17 => 16 1.0
4 5 7 => 9 1.0
12 14 => 9 0.117647058824
12 14 => 19 0.0588235294118
12 14 => 12 0.411764705882
12 14 => 17 0.0588235294118
12 14 => 16 0.352941176471
17 19 => 24 0.0909090909091
17 19 => 12 0.0909090909091
17 19 => 21 0.272727272727
17 19 => 17 0.181818181818
17 19 => 18 0.0909090909091
17 19 => 14 0.272727272727
-6 => -5 0.333333333333
-6 => -12 0.666666666667
14 16 => 13 0.0333333333333
14 16 => 14 0.666666666667
14 16 => 17 0.2
14 16 => 18 0.0333333333333
14 16 => 4 0.0333333333333
14 16 => 21 0.0333333333333
11 17 => 12 0.5
11 17 => 16 0.5
7 12 9 => 12 0.5
7 12 9 => 17 0.5
14 16 17 19 => 18 0.25
14 16 17 19 => 21 0.75
8 5 => 7 1.0
14 7 => 14 1.0
18 16 => 15 0.111111111111
18 16 => 14 0.888888888889
10 12 => 9 0.666666666667
10 12 => 7 0.333333333333
7 9 => 11 0.304347826087
7 9 => 10 0.0434782608696
7 9 => 14 0.0434782608696
7 9 => -5 0.0434782608696
7 9 => 5 0.0434782608696
7 9 => 7 0.478260869565
7 9 => 6 0.0434782608696
19 14 16 => 4 0.5
19 14 16 => 21 0.5
6 12 => 11 1.0
10 7 => 0 0.333333333333
10 7 => 2 0.666666666667
6 7 4 => 11 0.5
6 7 4 => 6 0.5
17 12 => 17 1.0
14 11 => 13 0.0714285714286
14 11 => 12 0.0714285714286
14 11 => 14 0.214285714286
14 11 => 16 0.0714285714286
14 11 => 19 0.285714285714
14 11 => 7 0.214285714286
14 11 => 9 0.0714285714286
9 2 => 12 1.0
18 19 => -5 0.2
18 19 => 18 0.2
18 19 => 5 0.2
18 19 => 21 0.2
18 19 => 20 0.2
19 18 => 19 0.5
19 18 => 16 0.5
3 4 2 => -1 1.0
19 21 19 17 => 16 1.0
7 11 => 12 0.666666666667
7 11 => 14 0.333333333333
12 14 12 11 9 => 8 0.5
