2 4 => -1 0.25
2 4 => 8 0.25
-4 2 => -10 0.5
-4 2 => 14 0.5
-2 7 => -4 1.0
5 -4 => 4 1.0
24 -2 => 3 1.0
-17 12 => -29 0.333333333333
-17 12 => -17 0.666666666667
17 2 5 => 17 1.0
4 7 => 24 0.153846153846
4 7 => 12 0.615384615385
4 7 => 4 0.0769230769231
4 7 => -12 0.153846153846
10 -5 => 3 1.0
-12 7 => 12 1.0
-8 12 => -5 1.0
9 -17 => -7 0.6
9 -17 => -12 0.2
9 -17 => -1 0.2
-12 -1 => 0 1.0
8 => 11 0.133333333333
8 => 10 0.0666666666667
8 => 15 0.133333333333
8 => -4 0.133333333333
8 => -26 0.0666666666667
8 => 20 0.0666666666667
8 => -5 0.0666666666667
8 => -10 0.0666666666667
8 => -6 0.0666666666667
8 => -1 0.0666666666667
8 => -17 0.0666666666667
8 => 5 0.0666666666667
-15 => 0 0.666666666667
-15 => 21 0.333333333333
25 9 => 13 0.5
25 9 => 21 0.5
17 -7 => 19 0.666666666667
17 -7 => -3 0.333333333333
5 8 => 11 1.0
16 -7 => -17 0.5
16 -7 => -3 0.5
-17 -7 => 2 0.142857142857
-17 -7 => -17 0.857142857143
-24 16 => -8 1.0
6 10 => 3 1.0
-5 0 => 23 0.1875
-5 0 => 4 0.75
-5 0 => 14 0.0625
-17 5 2 => 5 1.0
22 2 5 => 10 1.0
-4 -2 => 5 1.0
-4 11 => 15 1.0
-12 0 => 4 1.0
12 19 => 12 0.25
12 19 => 5 0.25
12 19 => 7 0.5
0 4 => 12 0.166666666667
0 4 => 16 0.111111111111
0 4 => 19 0.0555555555556
0 4 => 0 0.0555555555556
0 4 => -12 0.0555555555556
0 4 => 7 0.555555555556
2 8 => -10 0.5
2 8 => -26 0.5
-26 24 => -9 1.0
-29 -8 => 7 1.0
-2 3 => 15 0.5
-2 3 => 22 0.5
-3 12 => -10 1.0
0 14 => 12 0.666666666667
0 14 => 16 0.333333333333
-12 -8 => -5 1.0
1 => 4 1.0
19 16 => 7 1.0
21 2 5 => 21 1.0
5 11 => 0 0.25
5 11 => 12 0.25
5 11 => 15 0.25
5 11 => 4 0.25
12 -24 => 31 0.5
12 -24 => -8 0.5
9 12 => 11 0.333333333333
9 12 => 24 0.333333333333
9 12 => 17 0.333333333333
-3 -7 => 9 0.5
-3 -7 => -3 0.5
4 14 => 2 1.0
-20 => 5 0.5
-20 => 16 0.5
-15 0 => 14 1.0
4 19 => 16 1.0
7 -8 => 12 1.0
15 -1 => -19 0.2
15 -1 => -7 0.4
