-19 => -27 0.0769230769231
-19 => -30 0.153846153846
-19 => 0 0.153846153846
-19 => 4 0.0769230769231
-19 => 7 0.0769230769231
-19 => 9 0.0769230769231
-19 => -9 0.0769230769231
-36 9 => -24 1.0
-12 -9 => 0 1.0
7 => 21 0.00854700854701
7 => -24 0.0940170940171
7 => -27 0.111111111111
7 => -21 0.017094017094
7 => -22 0.017094017094
7 => 0 0.0769230769231
7 => 3 0.00854700854701
7 => 2 0.00854700854701
7 => 5 0.00854700854701
7 => 4 0.034188034188
7 => 9 0.034188034188
7 => -12 0.00854700854701
7 => -15 0.00854700854701
7 => -17 0.0598290598291
7 => -19 0.00854700854701
7 => -29 0.0940170940171
7 => 10 0.00854700854701
7 => 12 0.025641025641
7 => 14 0.00854700854701
7 => -36 0.0512820512821
7 => -34 0.025641025641
7 => -32 0.17094017094
7 => -31 0.017094017094
7 => -5 0.025641025641
7 => -3 0.0683760683761
7 21 => -5 1.0
-19 9 => -27 1.0
2 12 => 16 1.0
-10 -21 => 21 1.0
0 -22 => 0 0.25
0 -22 => 2 0.25
0 -22 => 14 0.5
-22 => 14 0.153846153846
-22 => -4 0.0384615384615
-22 => 19 0.0384615384615
-22 => -26 0.0384615384615
-22 => -32 0.0769230769231
-22 => 0 0.115384615385
-22 => -7 0.0384615384615
-22 => 2 0.153846153846
-22 => 5 0.0769230769231
-22 => 7 0.115384615385
-22 => 9 0.0384615384615
-22 => -10 0.0384615384615
-22 => 21 0.0769230769231
7 12 => -27 0.333333333333
7 12 => -32 0.333333333333
7 12 => 7 0.333333333333
-31 0 => -19 0.25
-31 0 => -36 0.5
-31 0 => 3 0.25
-20 -31 => -5 0.5
-20 -31 => -19 0.125
-20 -31 => 12 0.125
-20 -31 => 20 0.125
-20 -31 => 21 0.125
-9 3 => 9 1.0
-29 0 => -27 0.2
-29 0 => -32 0.6
-29 0 => -31 0.2
12 -27 => -24 1.0
-12 -22 => -10 1.0
-20 -29 => 0 0.133333333333
-20 -29 => -9 0.133333333333
-20 -29 => -17 0.733333333333
-31 7 => -19 0.333333333333
-31 7 => -3 0.666666666667
4 => -34 0.0512820512821
4 => -17 0.025641025641
4 => -24 0.025641025641
4 => -36 0.0512820512821
4 => -27 0.025641025641
4 => -20 0.025641025641
4 => -21 0.025641025641
4 => -31 0.025641025641
4 => -32 0.025641025641
4 => 0 0.25641025641
4 => -12 0.025641025641
4 => 5 0.282051282051
