melodic_variance,repeteadness_mean,repeteadness_variance,pitch_in_piece,weighted_abruptness,pitch_in_rules,branchiness_mean,branchiness_variance,melodic_mean,unweighted_abruptness,labels
0.652199387,11,10.65725219,27,12,4.829457364,3.976744186,5.60411033,2.406976744,2,Classical
0.573501747,23,39.24539982,26,1,3.098360656,3.31147541,2.739048643,1.983606557,1,Classical
0.411590654,15.42380952,19.87644182,24,2,3.676767677,3.656565657,2.851749821,1.949494949,10,Classical
0.383135331,19,31.72323929,34,3,2.931818182,3.340909091,2.111053719,1.806818182,1,Classical
0.580094498,8.6,6.038049429,21,2,2.790123457,3.851851852,5.089163237,1.987654321,4,Classical
0.431818182,5,1.7156,16,5,1.454545455,3,1.909090909,1.5,5,Classical
0.24,8,5.235318617,24,7,1.466666667,3.466666667,3.582222222,1.4,3,Classical
0.249134948,4,1.109130859,23,2,1.441176471,3.647058824,4.404844291,1.529411765,2,Classical
0.375169881,6,3.019064312,36,3,4.260606061,4.412121212,5.599853076,1.975757576,1,Classical
0.229591837,5,2.24,9,3,1.214285714,3.285714286,3.06122449,1.357142857,3,Classical
0,7,3.926953981,16,5,0,2,0.2,1,5,Classical
0.399583767,10,7.835660716,17,2,2.838709677,3.419354839,2.243496358,1.709677419,1,Classical
0.2475,7,3.853301351,17,5,1.8,3,1.3,1.45,5,Classical
0,1,0,5,5,0,1,0,1,5,Classical
0.41039207,10,8.614416329,31,7,4.268656716,3.895522388,4.809979951,1.992537313,7,Classical
0.366782007,5,1.880529301,13,2,1.647058824,3.176470588,2.14532872,1.529411765,5,Classical
0.500844233,12,11.84901309,29,13,4.455172414,4.131034483,5.40351962,2.286206897,9,Classical
0.249739854,8.15,5.301424793,19,1,1.838709677,3.483870968,2.443288241,1.516129032,4,Classical
0.1875,2,0.222222222,10,2,1.166666667,3,1.5,1.25,1,Classical
0.600070419,10.875,9.526951477,28,2,4.453900709,3.475177305,2.064986671,2.09929078,8,Classical
0.514792899,3.3,0.819591837,11,5,2.038461538,3.153846154,2.360946746,1.846153846,3,Classical
0.419590918,5,1.822945363,22,7,2.534246575,4.575342466,5.559392006,1.863013699,4,Classical
0.684081669,9,6.601641666,31,7,6.127962085,4.123222749,5.90898677,2.355450237,6,Classical
0.244897959,5,1.720710059,20,5,1.885714286,4.114285714,5.072653061,1.571428571,3,Classical
0.551178636,7,4.173166158,33,1,3.10619469,3.840707965,3.797634897,1.920353982,3,Classical
0.426751075,7,4.149557713,32,3,4.960960961,4.42042042,6.820243667,2.225225225,10,Classical
0.448720492,6.616666667,3.293469273,24,6,3.971830986,4.169014085,5.379884943,1.873239437,5,Classical
0.337543671,8.8,5.888019627,26,10,3.442622951,4.426229508,6.097016931,1.918032787,12,Classical
0.312174818,4,1.257023933,26,7,1.935483871,4.451612903,4.82830385,1.548387097,2,Classical
0.4875,9,6.629407855,24,2,1.766666667,3.666666667,2.722222222,1.75,3,Classical
0,2.56,0.466938776,11,1,0,3.25,1.4375,1,2,Classical
0.24952741,8,5.284255449,16,3,1.260869565,3.391304348,2.933837429,1.47826087,5,Classical
0.474879819,6.925,3.678641128,21,1,3.291262136,3.941747573,3.452917334,2.029126214,3,Classical
0.179930796,13,14.34186208,21,3,4.602941176,3.911764706,2.698096886,1.764705882,5,Classical
0.483237453,14,18.44509897,26,5,3.295774648,3.718309859,4.005157707,1.901408451,12,Classical
0.457623023,8,5.489672995,32,2,4.222797927,4.29015544,6.423581841,2.093264249,9,Classical
0,1,0,5,5,0,1,0,1,5,Classical
0.724122222,15,20.84888294,42,21,4.41,3.926666667,3.814622222,2.243333333,21,Classical
0.394875026,12,11.97123339,24,3,2.869565217,3.623188406,2.582650704,1.84057971,1,Classical
0.507582617,6.833333333,3.670976376,48,5,4.531914894,3.70212766,3.634676324,1.882978723,8,Classical
0.20567867,10,8.023985488,21,3,3.973684211,3.157894737,0.659279778,1.710526316,3,Classical
0.360661157,18,24.85111364,26,2,4.063636364,4.345454545,5.644297521,1.945454545,12,Classical
0.354166667,7,3.700758651,24,8,3.229166667,4.208333333,4.164930556,1.75,2,Classical
0.302395691,28,62.74553721,49,17,8.4738041,4.829157175,10.64279451,2.109339408,17,Classical
0.393871191,7,4.11802517,24,8,2.934210526,3.894736842,3.725761773,1.881578947,3,Classical
0.228373702,4,1.166666667,17,12,2.294117647,3.294117647,2.325259516,1.352941176,7,Classical
0.346020761,5,1.955555556,13,2,1,3.058823529,2.173010381,1.352941176,1,Classical
0,2,0.231404959,16,3,0,2.666666667,1.555555556,1,2,Classical
0.436441982,5,1.877565929,19,6,3.122807018,4.175438596,4.91658972,1.807017544,1,Classical
0.4805636,10.86666667,10.12876629,51,7,3.589552239,3.805970149,3.559367342,1.932835821,1,Classical
0.417091837,8,4.714330244,20,12,3.285714286,3.392857143,2.988520408,1.892857143,2,Classical
0.311728395,7,4.254699102,21,3,3.111111111,3.555555556,1.913580247,1.722222222,2,Classical
0.1875,2.3,0.373333333,21,4,0.6,3.4,1.94,1.25,2,Classical
0.469592373,8,5.390867959,26,2,4.688034188,4.247863248,4.682153554,2.217948718,6,Classical
0.216066482,8,5.983883276,22,2,3.543859649,3.964912281,3.718067098,1.684210526,1,Classical
0.213017751,2.4,0.402366864,10,1,0.615384615,2.923076923,2.071005917,1.307692308,2,Classical
0.187084668,14,16.94971949,63,18,13.13993711,4.603773585,10.28954551,1.995283019,4,Classical
0.437928669,13,13.35884767,29,2,2.537037037,3.296296296,2.615912209,1.685185185,2,Classical
0.255137158,20,32.08027513,41,18,7.670520231,3.895953757,4.4978449,1.832369942,14,Classical
0.561905696,9,6.993436425,24,2,3.564356436,3.742574257,4.547593373,2.04950495,4,Classical
0.375510204,7,3.968836565,15,3,2.485714286,3.428571429,1.616326531,1.714285714,7,Classical
0.1875,3,0.544378698,10,2,0.666666667,3.5,2.75,1.25,3,Classical
0.132963989,3,0.45,24,2,0.421052632,3.157894737,2.238227147,1.157894737,2,Classical
0.482273946,15,20.3414249,31,3,6.354058722,4.276338515,7.367505765,2.402417962,8,Classical
0.688090737,3,0.704081633,19,5,4.304347826,3.391304348,2.064272212,1.913043478,9,Classical
0.266988062,10,7.706605588,25,2,3.606060606,4.924242424,8.236685032,1.924242424,1,Classical
0.614532653,12,13.15120701,29,3,3.327044025,3.823899371,3.013013726,2.182389937,4,Classical
0.387755102,3.966666667,1.280711111,14,2,0.642857143,3.285714286,2.632653061,1.428571429,1,Classical
0.34523341,11,9.305960527,36,11,4.757575758,4.147186147,5.528119788,2.073593074,13,Classical
0.33033241,6,3.263360768,19,4,2.289473684,3.473684211,3.775623269,1.657894737,7,Classical
0,2.75,0.555555556,3,1,0,1.5,0.25,1,1,Classical
0.408163265,7,3.94852045,26,1,3.298701299,4.103896104,5.547647158,1.857142857,2,Classical
0.373333333,3,0.710254472,12,3,0.933333333,2.8,2.56,1.4,5,Classical
0.313920455,12,12.74069472,26,7,4.579545455,4.045454545,5.929752066,1.875,12,Classical
0,2.65,0.5,50,35,0,2,0.888888889,1,35,Classical
0.308539945,3.7,0.8601177,24,2,1.515151515,3.636363636,3.32231405,1.454545455,1,Classical
0.500144402,24.77777778,53.50994539,33,6,4.532608696,4.144927536,5.109430792,2.199275362,5,Classical
0.5,6.583333333,3.599022182,14,7,1.9375,2.5,1.125,1.5,2,Classical
0.094182825,4,1.166666667,19,1,0.368421053,3.157894737,2.764542936,1.105263158,3,Classical
0,1.8,0.16,24,5,0,1.333333333,0.222222222,1,5,Classical
0.601829003,9,6.822862707,27,2,3.493975904,3.469879518,2.514152998,1.975903614,2,Classical
0.156342456,7,4.168926603,44,10,8.495192308,4.759615385,9.24029216,1.951923077,8,Classical
0.515555556,20,34.87669863,31,2,4.185185185,4.177777778,4.783209877,2.133333333,2,Classical
0.248888889,8,5.64,19,5,2,3.933333333,2.528888889,1.533333333,5,Classical
0.311831153,17.1,25.71399221,22,9,5.379310345,3.586206897,2.27705113,1.775862069,4,Classical
0.549115646,6.857142857,3.559364607,24,7,3.923809524,3.847619048,3.443446712,2.057142857,7,Classical
0.452479339,7.8,4.610283208,24,3,3.988636364,3.477272727,1.931301653,1.954545455,2,Classical
0.429111531,5,1.75370297,19,7,3.065217391,3.608695652,3.238185255,1.695652174,1,Classical
0.168367347,2,0.204081633,16,2,0.357142857,3.571428571,2.102040816,1.214285714,3,Classical
0.299802761,6.45,3.334002836,41,7,2.923076923,3.692307692,5.34122288,1.538461538,7,Classical
0,2.7,0.530612245,20,3,0,2.444444444,0.913580247,1,3,Classical
0.731568998,11,10.45060826,22,2,2.956521739,3.304347826,2.516068053,1.913043478,2,Classical
0.794111679,19,30.67234463,27,12,4.045045045,3.981981982,4.323999675,2.31981982,6,Classical
0.607645429,8,5.424575446,24,4,3.294736842,3.578947368,2.87534626,2.115789474,5,Classical
0.412139343,24,52.22296921,57,21,9.107476636,4.355140187,7.52496579,2.257009346,12,Classical
0.518200692,20,35.6903917,29,1,4.141176471,3.835294118,3.031695502,2.105882353,4,Classical
0.343669137,10,9.537694508,29,3,3.602649007,4.026490066,4.131748608,1.973509934,5,Classical
0.22680506,19,28.60415527,48,5,9.41091954,4.67816092,9.29297133,1.985632184,3,Classical
0.148760331,3.355555556,0.857330703,12,2,0.909090909,3.272727273,0.925619835,1.181818182,2,Classical
0.260653958,11,11.18018044,66,5,12,4.606741573,8.270066911,2.004494382,18,Classical
