melodic_variance,repeteadness_mean,repeteadness_variance,pitch_in_piece,weighted_abruptness,pitch_in_rules,branchiness_mean,pitch_between_rules,branchiness_variance,melodic_mean,unweighted_abruptness,label
0.5275,8.763636364,6.569256621,16,13,7.45,3.5,"[4, 3, 8, 11, 8, 11, 15, 11, 13, 8, 2, 13, 13, 15, 11, 15, 16, 7, 13, 6, 14, 6, 9, 11, 13, 13, 13, 13, 15, 15, 15, 13, 8, 15]",2.7,2.15,2,Rock
0,3.45,0.972222222,14,4,0,2.222222222,"[2, 1, 2, 2, 2, 2]",0.395061728,1,4,Rock
0.919873246,5,1.945122357,19,12,4.957446809,3.787234043,"[12, 9, 2, 7, 12, 7, 4, 5, 4, 7, 3, 12, 4, 2, 7, 17, 9, 2, 12, 5, 5, 3, 7, 12, 7, 7, 17, 4, 7, 12, 5, 2, 12, 10, 12, 5, 3, 12, 10, 12, 17, 7, 12]",2.465368945,2.127659574,12,Rock
0.222222222,2,0.222222222,10,7,2.833333333,2.333333333,"[10, 7, 8, 5]",0.555555556,1.333333333,5,Rock
1.2475,5,1.797846579,13,4,2.75,2.9,"[2, 4, 8, 3, 2, 2, 4, 4, 4, 4, 8, 1, 4, 2, 6, 6, 8, 4]",1.99,1.95,11,Rock
0,1.75,0.138888889,28,18,0,2,"[18, 21, 4, 6, 4]",0.533333333,1,18,Rock
0.381344307,6,3.079909297,26,4,0.481481481,2.592592593,"[8, 1, 1, 2, 1, 2, 1, 1, 2, 2, 4, 1, 6, 2, 2, 6, 3, 2, 7, 1, 1, 1, 8, 5]",0.834019204,1.37037037,2,Rock
5,6.857142857,4.140939774,19,7,8.6875,2,"[15, 19, 7, 7, 19, 15, 11, 4, 19, 15, 4, 7, 19, 19]",0.375,3,7,Rock
0.770698677,9,6.234351842,33,1,7.01754386,3.087719298,"[14, 9, 3, 9, 8, 11, 5, 14, 2, 9, 16, 22, 7, 15, 6, 7, 1, 7, 7, 14, 14, 14, 5, 16, 7, 4, 4, 14, 22, 7, 22, 8, 14, 5, 11, 2, 22, 14, 14, 22, 15, 4, 11, 7, 9, 11, 15, 1, 22, 3, 22, 6, 6, 14, 8, 11, 4, 9]",3.273007079,2.035087719,4,Rock
0.568163265,5.8,2.572838055,17,5,4.257142857,3.2,"[5, 7, 7, 7, 5, 10, 2, 12, 5, 5, 7, 5, 7, 4, 2, 5, 1, 2, 12, 3, 7, 12, 1, 1, 9, 9, 12, 5, 1, 4, 4, 3]",2.331428571,1.942857143,5,Rock
