source	target	probability
19|	0|19	0.045454545454545456
19|	2|19	0.0625
19|	3|19	0.14285714285714285
19|	13|19	0.09090909090909091
19|	21|19	0.13333333333333333
19|	4|19	0.10526315789473684
19|	17|19	0.2857142857142857
19|	-8|19	0.16666666666666666
19|	14|19	0.02
19|	5|19	0.14285714285714285
19|	16|19	0.06060606060606061
19|	12|19	0.07692307692307693
19|	24|19	0.0196078431372549
19|	129|19	0.4
19|	8|19	0.1111111111111111
19|	-17|19	0.3
19|	-11|19	0.3333333333333333
19|	-1|19	0.05555555555555555
19|	11|19	0.2
19|	18|19	0.23529411764705882
19|	26|19	0.14285714285714285
19|	-28|19	0.2
19|	-19|19	0.125
19|	-16|19	0.16666666666666666
19|	22|19	0.1388888888888889
19|	20|19	0.08333333333333333
19|	-24|19	0.05555555555555555
19|	128|19	0.4
19|	-12|19	0.08333333333333333
19|	-14|19	0.3333333333333333
19|	-20|19	0.16666666666666666
19|	-32|19	1.0
19|	-34|19	0.3333333333333333
19|	-31|19	0.16666666666666666
19|	-15|19	0.6666666666666666
19|	-10|19	0.75
19|	-33|19	1.0
19|	27|19	1.0
19|	23|19	0.08333333333333333
19|	29|19	1.0
19|	28|19	1.0
19|	31|19	0.3333333333333333
19|	-36|19	1.0
19|	33|19	0.5
19|	25|19	1.0
14|	-5|14	0.0625
14|	-16|14	0.058823529411764705
14|	-4|14	0.2
14|	0|14	0.047619047619047616
14|	15|14	0.09259259259259259
14|	12|14	0.09166666666666666
14|	-12|14	0.125
14|	-24|14	0.1282051282051282
14|	4|14	0.14583333333333334
14|	-19|14	0.07692307692307693
14|	-25|14	0.25
14|	-29|14	0.07142857142857142
14|	-8|14	0.11764705882352941
14|	-22|14	0.13333333333333333
14|	-6|14	0.125
14|	-18|14	0.06666666666666667
14|	-9|14	0.275
14|	-23|14	0.2
14|	-3|14	0.043478260869565216
14|	2|14	0.01694915254237288
14|	-21|14	0.25
14|	-10|14	0.029411764705882353
14|	-36|14	0.25
14|	7|14	0.013245033112582781
14|	9|14	0.03076923076923077
14|	-2|14	0.08
14|	-27|14	0.037037037037037035
14|	-17|14	0.034482758620689655
14|	-20|14	0.08333333333333333
14|	-13|14	0.2
14|	-15|14	0.13636363636363635
14|	-7|14	0.05263157894736842
14|	13|14	0.0625
14|	5|14	0.06666666666666667
14|	-1|14	0.06666666666666667
14|	16|14	0.015873015873015872
14|	6|14	0.125
14|	10|14	0.024390243902439025
14|	19|14	0.06818181818181818
14|	8|14	0.125
14|	17|14	0.2
14|	-34|14	0.3333333333333333
14|	21|14	0.09090909090909091
14|	-14|14	0.058823529411764705
14|	11|14	0.1276595744680851
14|	3|14	0.1111111111111111
14|	128|14	0.07692307692307693
14|	26|14	0.075
14|	22|14	0.25
14|	1|14	0.3333333333333333
14|	18|14	0.2222222222222222
14|	24|14	0.14285714285714285
14|	129|14	0.2
14|	-11|14	0.5
14|	-26|14	0.16666666666666666
14|	-28|14	0.25
14|	-30|14	0.5
14|	-33|14	0.25
14|	-31|14	1.0
14|	20|14	0.5
14|	23|14	0.25
14|	29|14	1.0
14|	31|14	1.0
14|	-32|14	1.0
14|	25|14	1.0
14|	35|14	1.0
7|	-42|	0.0002281021897810219
7|	40|	0.0002281021897810219
7|	-5|7	0.014705882352941176
7|	4|7	0.014792899408284023
7|	-4|7	0.0625
7|	3|7	0.06164383561643835
7|	-9|7	0.047619047619047616
7|	-12|7	0.037037037037037035
7|	0|7	0.02666666666666667
7|	-10|7	0.016666666666666666
7|	2|7	0.029535864978902954
7|	1|7	0.043478260869565216
7|	-14|7	0.09090909090909091
7|	-20|7	0.08333333333333333
7|	8|7	0.08771929824561403
7|	-3|7	0.04316546762589928
7|	-25|7	0.13333333333333333
7|	-15|7	0.08571428571428572
7|	5|7	0.2827868852459016
7|	-23|7	0.023809523809523808
7|	-28|7	0.25
7|	6|7	0.17142857142857143
7|	12|7	0.05555555555555555
7|	-34|7	0.1
7|	-31|7	0.07692307692307693
7|	-6|7	0.023255813953488372
7|	-2|7	0.029411764705882353
7|	-27|7	0.1568627450980392
7|	-17|7	0.021739130434782608
7|	-22|7	0.022988505747126436
7|	-21|7	0.32
7|	9|7	0.00975609756097561
7|	-16|7	0.2692307692307692
7|	-24|7	0.11594202898550725
7|	-29|7	0.014705882352941176
7|	10|7	0.030612244897959183
7|	-19|7	0.02
7|	-13|7	0.0625
7|	-7|7	0.1368421052631579
7|	-1|7	0.04807692307692308
7|	11|7	0.0136986301369863
7|	13|7	0.010526315789473684
7|	14|7	0.33548387096774196
7|	-8|7	0.021739130434782608
7|	-26|7	0.02857142857142857
7|	129|7	0.10344827586206896
7|	-33|7	0.16666666666666666
7|	15|7	0.3888888888888889
7|	19|7	0.410958904109589
7|	17|7	0.06451612903225806
7|	-18|7	0.16666666666666666
7|	-32|7	0.2222222222222222
7|	16|7	0.010526315789473684
7|	21|7	0.16666666666666666
7|	26|7	0.3076923076923077
7|	-11|7	0.21739130434782608
7|	18|7	0.2857142857142857
7|	24|7	0.17647058823529413
7|	22|7	0.2
7|	128|7	0.10256410256410256
7|	-30|7	0.058823529411764705
7|	-36|7	0.07142857142857142
7|	20|7	0.3333333333333333
7|	27|7	0.25
7|	23|7	0.2
7|	29|7	0.16666666666666666
7|	28|7	0.4
7|	31|7	0.21428571428571427
7|	-37|7	1.0
7|	-35|7	1.0
7|	34|7	1.0
7|	33|7	0.25
7|	25|7	0.4
7|	36|7	0.6666666666666666
7|	38|7	1.0
7|	39|7	1.0
7|	37|7	1.0
7|	32|7	1.0
7|	-38|7	0.14285714285714285
7|	30|7	0.3333333333333333
-9|	-5|-9	0.06796116504854369
-9|	-19|-9	0.06
-9|	-16|-9	0.5
-9|	3|-9	0.03333333333333333
-9|	-24|-9	0.03296703296703297
-9|	6|-9	0.06818181818181818
-9|	-4|-9	0.02857142857142857
-9|	0|-9	0.0392156862745098
-9|	-10|-9	0.019230769230769232
-9|	-8|-9	0.014285714285714285
-9|	-7|-9	0.46715328467153283
-9|	2|-9	0.05
-9|	-17|-9	0.02040816326530612
-9|	-6|-9	0.2413793103448276
-9|	-20|-9	0.627906976744186
-9|	128|-9	0.9122426868905742
-9|	-25|-9	0.17647058823529413
-9|	-11|-9	0.022727272727272728
-9|	-21|-9	0.8912386706948641
-9|	-3|-9	0.008064516129032258
-9|	-1|-9	0.8813131313131313
-9|	5|-9	0.0625
-9|	-12|-9	0.345679012345679
-9|	-2|-9	0.03571428571428571
-9|	-22|-9	0.0702247191011236
-9|	7|-9	0.05263157894736842
-9|	9|-9	0.043478260869565216
-9|	-23|-9	0.5813953488372093
-9|	1|-9	0.8777777777777778
-9|	-26|-9	0.8833333333333333
-9|	-28|-9	0.7154471544715447
-9|	-32|-9	0.25
-9|	-27|-9	0.1111111111111111
-9|	-18|-9	0.12903225806451613
-9|	-14|-9	0.03125
-9|	12|-9	0.027777777777777776
-9|	129|-9	0.07692307692307693
-9|	-29|-9	0.13333333333333333
-9|	4|-9	0.1527777777777778
-9|	10|-9	0.06666666666666667
-9|	21|-9	0.14285714285714285
-9|	14|-9	0.15151515151515152
-9|	11|-9	0.06060606060606061
-9|	-15|-9	0.10526315789473684
-9|	19|-9	0.08695652173913043
-9|	16|-9	0.2857142857142857
